[20/10/2025 14:01:53] | ADMINISTRADOR | admin | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:01:53] | ADMIN | admin | CREAR_USUARIO | EXITOSA | Admin por defecto creado
[20/10/2025 14:02:00] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 14:08:46] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 14:08:56] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_08_51_TOP_VENDIDOS.pdf
[20/10/2025 14:09:16] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_09_14_MENOS_VENDIDOS.pdf
[20/10/2025 14:09:29] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_09_26_INVENTARIO_CRITICO.pdf
[20/10/2025 14:09:45] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_09_42_VENTAS_VENDEDOR.pdf
[20/10/2025 14:10:00] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_09_58_CLIENTES_ACTIVOS.pdf
[20/10/2025 14:10:11] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_10_09_FINANCIERO.pdf
[20/10/2025 14:10:27] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 20_10_2025_14_10_25_POR_CADUCAR.pdf
[20/10/2025 14:17:18] | VENDEDOR | 1234 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | codigo | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V001 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V002 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V003 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V004 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V005 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V006 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V007 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V008 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V009 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | VENDEDOR | V010 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:18:36] | ADMIN | admin | CARGA_CSV_VENDEDORES | EXITOSA | vendedores.csv -> Procesadas:11 Aceptadas:11 Rechazadas:0
[20/10/2025 14:19:14] | VENDEDOR | codigo | ELIMINAR_USUARIO | EXITOSA | Usuario eliminado
[20/10/2025 14:21:44] | ADMINISTRADOR | admin | LOGOUT | EXITOSA | Usuario Administrador (admin) cerró sesión
[20/10/2025 14:21:49] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 14:23:13] | CLIENTE | C001 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 14:23:43] | VENDEDOR | 1234 | LOGOUT | EXITOSA | Usuario JIMMY (1234) cerró sesión
[20/10/2025 14:23:52] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 14:24:21] | ADMIN | admin | CREAR_PRODUCTO | EXITOSA | P001
[20/10/2025 14:24:21] | ADMIN | admin | ACTUALIZAR_PRECIO | EXITOSA | P001->100.0
