[20/10/2025 13:44:31] | ADMINISTRADOR | admin | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 13:44:31] | ADMIN | admin | CREAR_USUARIO | EXITOSA | Admin por defecto creado
[20/10/2025 13:44:38] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 15:04:12] | SISTEMA | C002 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:21] | SISTEMA | C001 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:27] | SISTEMA | C001 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:29] | SISTEMA | C001 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:29] | SISTEMA | C001 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:39] | SISTEMA | 1234 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:40] | SISTEMA | 1234 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:40] | SISTEMA | 1234 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:40] | SISTEMA | 1234 | LOGIN | FALLIDA | Usuario no encontrado
[20/10/2025 15:04:47] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[20/10/2025 15:05:15] | VENDEDOR | codigo | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:15] | VENDEDOR | V001 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:15] | VENDEDOR | V002 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:16] | VENDEDOR | V003 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:16] | VENDEDOR | V004 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:16] | VENDEDOR | V005 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:16] | VENDEDOR | V006 | CREAR_USUARIO | EXITOSA | Usuario creado
[20/10/2025 15:05:16] | VENDEDOR | V007 | CREAR_USUARIO | EXITOSA | Usuario creado
