[19/10/2025 18:44:09] | ADMINISTRADOR | admin | CREAR_USUARIO | EXITOSA | Usuario creado
[19/10/2025 18:44:09] | ADMIN | admin | CREAR_USUARIO | EXITOSA | Admin por defecto creado
[19/10/2025 18:45:28] | ADMINISTRADOR | admin | LOGIN | FALLIDA | Contraseña incorrecta
[19/10/2025 18:45:34] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 19:00:09] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 19:01:45] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_01_29_TOP_VENDIDOS.pdf
[19/10/2025 19:02:08] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_02_06_MENOS_VENDIDOS.pdf
[19/10/2025 19:02:41] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_02_39_INVENTARIO_CRITICO.pdf
[19/10/2025 19:03:23] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_03_20_VENTAS_VENDEDOR.pdf
[19/10/2025 19:04:01] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_03_59_CLIENTES_ACTIVOS.pdf
[19/10/2025 19:04:31] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_04_27_FINANCIERO.pdf
[19/10/2025 19:05:16] | ADMIN | admin | GENERAR_REPORTE | EXITOSA | 19_10_2025_19_05_14_POR_CADUCAR.pdf
[19/10/2025 19:09:13] | VENDEDOR | 1234 | CREAR_USUARIO | EXITOSA | Usuario creado
[19/10/2025 19:09:30] | VENDEDOR | 5678 | CREAR_USUARIO | EXITOSA | Usuario creado
[19/10/2025 19:10:01] | VENDEDOR | 1234 | ACTUALIZAR_USUARIO | EXITOSA | Usuario actualizado
[19/10/2025 19:10:17] | VENDEDOR | 5678 | ELIMINAR_USUARIO | EXITOSA | Usuario eliminado
[19/10/2025 19:10:36] | ADMIN | admin | CREAR_PRODUCTO | EXITOSA | 1234
[19/10/2025 19:11:03] | ADMIN | admin | CREAR_PRODUCTO | EXITOSA | 12345
[19/10/2025 19:11:19] | ADMIN | admin | CREAR_PRODUCTO | EXITOSA | 123456
[19/10/2025 19:12:21] | ADMIN | admin | ACTUALIZAR_PRODUCTO | EXITOSA | 123456
[19/10/2025 19:12:40] | ADMIN | admin | CREAR_PRODUCTO | EXITOSA | 1234567
[19/10/2025 19:13:15] | ADMIN | admin | ELIMINAR_PRODUCTO | EXITOSA | 1234567
[19/10/2025 19:13:43] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 19:17:38] | VENDEDOR | 1234 | AGREGAR_STOCK | EXITOSA | Producto 1234 Cant:2
[19/10/2025 19:17:46] | VENDEDOR | 1234 | AGREGAR_STOCK | EXITOSA | Producto 12345 Cant:7
[19/10/2025 19:17:52] | VENDEDOR | 1234 | AGREGAR_STOCK | EXITOSA | Producto 123456 Cant:21
[19/10/2025 19:37:01] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 19:46:49] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 19:57:46] | CLIENTE | c1234 | CREAR_USUARIO | EXITOSA | Usuario creado
[19/10/2025 20:02:59] | CLIENTE | 1234q | CREAR_USUARIO | EXITOSA | Usuario creado
[19/10/2025 20:04:15] | CLIENTE | 1234q | ACTUALIZAR_USUARIO | EXITOSA | Usuario actualizado
[19/10/2025 20:04:30] | CLIENTE | c1234 | ELIMINAR_USUARIO | EXITOSA | Usuario eliminado
[19/10/2025 20:05:05] | CLIENTE | 1234q | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:06:38] | CLIENTE | 1234q | REALIZAR_PEDIDO | EXITOSA | PE-001
[19/10/2025 20:07:07] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:10:23] | VENDEDOR | 1234 | INCREMENTAR_VENTAS | EXITOSA | +1
[19/10/2025 20:10:23] | VENDEDOR | 1234 | CONFIRMAR_PEDIDO | EXITOSA | PE-001
[19/10/2025 20:13:11] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:13:38] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:15:02] | CLIENTE | 1234q | LOGIN | FALLIDA | Contraseña incorrecta
[19/10/2025 20:15:08] | CLIENTE | 1234q | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:16:10] | VENDEDOR | 1234 | LOGIN | EXITOSA | Inicio de sesión correcto
[19/10/2025 20:16:51] | ADMINISTRADOR | admin | LOGIN | EXITOSA | Inicio de sesión correcto
